"item","sagree","agree","neutral","disagree","sdisagree","notes"
"purpose1",30,8,2,1,0,"As I read through the guidelines, it seems like the way I would appraoch some of the items is different if I were to be (for example) putting the data into an archive for others to use/reuse it vs. reporting on it for a paper. I'm not sure if that's the range of use cases intended for this set of guidelines, but including some examples of what we mean by reporting about network research and the types of documents/knowledge objects where these guidelines would be most useful. "
"style1",24,14,1,2,0,"start each italic sentence with: OPTIONAL or RECOMMENDED. Basically what happens is that one would dive into the guidelines, not reading or remembering that italic means something

=====

This was not entirely clear, although I noticed ( after reading this question) that this was noted at the beginning of the document. This formatting makes it very bound to a visual element, and I ama not sure that we would not have more constraints down the road, that would be hard to encode. What if some properties have default values (if not specified, assume unordered, for instance). Ultimately, this could be designed in a data schema... (maybe not now, but in the future). So it would be good to depart from only a visual formatting of these constraints."
"tree1",16,17,1,4,3,"""whole"" in whole network is somewhat misleading or confusing. Because its basically everything that is not an eg network. However, a researchers may be very aware that what they have is not, in fact, a ""whole"" network but a partial network of the broader system. In general the guidelines seem v ery much informed by ego network studies, not so much by large-scale network studies such as population-scale network analysis based on administrative registers or even social network site data

=====

The question ""What is the scope of the network(s)"" is too narrow, because researchers may be interested in nodes, edges, subsets of nodes (communities), or subsets of nodes and edges (subnetwork) - ego-centric networks are one out of many other examples. 
One could split the question ""What is the scope of the network(s)"" into two separate questions:
1. What is the unit of interest? Node, edge, subset of nodes (communities), subset of edges (subnetwork), or something else?
2. What is the population of interest?

=====

There should be a box for multiplex networks, or at least a mention of that name in the diagram. Maybe the step after the multimode network could be ""How many types of relations do the edges in the network(s) represent?"" and that would take to multiplex/networks on the side

=====

#1: In the first/top portion of the tree, the ""Many"" arrow label should be changed to ""2+"" to accommodate Bipartite and low-N N-partite networks.

#2: Separating networks as 1 node type vs. 2+ node types is overly broad. It is confusing that networks with a single node type have 3 blocks in this tree to describe them, yet networks with 2+ node types have only a single, agglomerated box (Multimode Network), with no further differentiations as the Single-Node Networks have. Heterogeneous graphs (included in the Multimode Network block) can, for example, also be Hypergraphs and/or Ego Networks, but the current tree structure does not show this.

=====

The final decision (ego vs whole network) is terminologically problematic for people with no social network background,, IF this is for all networks, than the distinction is a bit unclear ( even for me). I assume that things like street networks etc are the whole system box, but I am not sure what Ego would be, despite knowing the terminology for a long time - to me it seems to be a special case of a subnetwork from the system network that is filtered by n-hop (or via other mechanism) from a source node. 

Second, and I am not sure where to put this comment here, I *strongly* dislike the mixing of network and graph in the entire guidelines. As we have noted ( maybe not strongly enough) in the Marshall et al 2018 paper (Street networks...), it is key to distinguish between the Network ( a real thing, where networked entities interact), the reductionist model of this network ( where only the specific relationships, properties and dynamics of this network that are of relevance to an analysis are considered and are well described) and only then the final, graph-based representation where entities are nodes, and relationships edges ( or arcs), weighted or not, bipartitie or multipartitite, hyper or other. In other words, this is what I would liek to also see in the guidelines - tell me what system you are studying, what are the prperties of this system that you are collecting data about, how are these deifned and measured, and only then how you construct a graph from these. 

=====

I felt that this sequential decision tool may omit some combinations of network data. For instance, I can imagine multimode ego-network data, etc. I would find it more intuitive if instead of the sequence, there were only a set of yes/no questions about the above, allowing for any combination of the four aspects queried. I would also consider adding a question about mulilayer/multiplex ties here - I will note later why I think reporting on edges in the current way makes it a bit difficult for multiplex networks.

=====

1) Splitting networks into one vs. all other is to broad. You group bipartite networks together with heterogeneous networks which are very different.
2) According to the figure its impossible, for example, for a heterogeneous networks to have many edges (hyper graph), or Ego network etc."
"types1",20,11,1,8,1,"I would separate signed networks from weighted networks. Reason: (1) there are networks whose edges are simplified in +1, 0, and -1, (2) there are network metrics that are defined for weighted networks but not signed, and vice versa. Even you distinguish between signs and weights in the Edge section.

=====

I would suggest replacing “hypergraphs” with “higher-order structures”, as the former represents only one possible instance of the latter. Moreover, “multimode” and “hypergraphs” partially overlap, since multimode systems also include bipartite networks, which can essentially be viewed as hypergraphs. I am also not convinced that dynamic networks should be placed outside the diagram: certain modeling approaches (e.g., stream graphs, interval graphs) are not simply collections of static networks.

=====

I'm not sure how chain/milgram-style data should be categorized in this framing. It would be helpful to clarify if that is considered network data for the purposes of these guidelines.

=====

In addition to the mentioned types of networks, individual and collective outcomes should be reported, and how similar or dissimilar the outcomes of unconnected and connected pairs of nodes are. The reason is that in many applications of networks, the network is not of primary interest, but secondary interest: e.g., networks of exchanges affect economic welfare, but the exchanges are not of primary interest - the economic welfare of individuals and countries are of primary interest. Likewise, in the study of infectious diseases, the contact network is not of primary interest, but individual and public health is.

=====

1. I would consider adding heterogeneous networks for multimode networks.
2. There is a situation in which we use the ego-centric network approach to build a whole network dataset. I am unsure how you want to classify this type of the dataset.

=====

#1: The guidelines should include the sign (positive or negative) of nodes and edges.

#2: The tree structure lists Complete graphs as one type of Whole Network, yet Incomplete graphs are not included in the guidelines.

=====

Spatial networks are completely neglected. These can be constructed by anchoring only the entities in space ( represented as nodes), but also by anchoring the relationships in space, too. The footprint of the entities also need not be simple points ( they may be netire regions) , still represented as nodes. Hence, the geometry that represents a node may be a polygon, line, or point ( if we stay in 2D). All this matters, because spatial entities may interact at distance despite explicit relationships that are represented in a graph. THey may be linked though multiple relationships at the same time. Even basic graph algoirithms use this - consider A*, that uses not only edge weights, but also in its heiuristic, the geographical distance, to estimate remaining costs.

=====

I actually think these are good common types, and it makes sense to develop specific guidance for these. However, as noted before, I would rather rather see these four types connected by ""and"" rather than ""or"" relations. E.g., if one could report on an egocentric hypergraph, they could follow the guidelines for both types to complete a minimal report.

=====

1) I would also include the sign of edges (e.g., friendship or enemies).
2) I would report if nodes have attributes or not.
3) I would report if edges have attributes (except for weight)."
"data.type1",36,3,0,2,0,"Reporting this is obviously very important. My impression is that there are many networks that are treated as whole networks, while they very well may be not, such as networks of actors involved in developing a policy - the boundary of who should be included is often very fuzzy and based on the judgement call of the researcher and their ability to even reach or know about certain actors involved. The way this is currently handled is through the ""boundary"", which is a perfectly good way to approach this inherently complex issue. But another way may be to distinguish between (reasonably) ""true"" whole networks and ""whole” networks where the researchers acknowledge from the beginning that theirs is a (more or less principled) sample – and for which they are then required to disclose the limits of the sampling strategy (often some form of snowball sampling) in more details than necessary for “true” whole networks.

=====

I agree this should be included - but I am not sure this is about the network ( the real thing, physical or abstract, that wee are studyng - the network of affectionate relatiohsips, or the sewerage network). We then model this networks, and deliberately capture only some of the data about it tht are of relevance, We need to discuss how we define the entities and their relationships ( an affectionate relationships between two people is one only if they exchange more than 3 messages per day with a positive valence, with a positivity of confidence >0.5  measured by XY test etc....). Only then are we able to convert this to a graph, and say what is a node, and what an edge."
"data.source1",34,4,0,3,0,"The collection of empirical data should describe
- the population and the unit of interest
- how a sample of connections from the population network of interest was taken (e.g., ego-centric sample, link-tracing sample)
- how a sample of outcomes from the population network of interest was generated.

=====

It is unclear what is the distinction. Are computer log data generated, or empirical? Is the intention to distinguish between synthetic and observed data? Would that not be a better terminology?

=====

For empirical, I would ask to clarify if the data is ""raw"" (was collected/generated exactly in the way reported) or ""processed"" (was transformed or dervide from raw data in some way). I am aware that processing is reported later, but it would be useful to flag up already here."
"data.count1",32,4,0,5,0,"I would just change the example for multiple networks that each represent the same type of system to (e.g., Team 1, Team 2; Site 1, Site 2). Reason: simply to add an example with spatial networks, which have not got examples in the guide but are a very relevant part of the network literature (my background is mainly in biological / ecological networks)

=====

For me it is unclear how someone should report a situation with 3 school classes and 2 waves per class. I strongly recommend the use of a systematic reporting that distinguishes these dimensions, especially looking into the future regarding automatic data extraction. 

=====

This works for static networks or temporally annotated collections of static networks only. In case of more fine grained temporal representation (interval graphs, stream graphs/hypergraphs) it would be useful to have information on the temporal granularity of observation (seconds, minutes, hours...).

=====

Sometimes the temporal span of the dataset is better represented as a time interval (e.g., ""daily between 2023-07-01 and 2025-01-01"") instead of the number of temporal waves.

=====

I do strongly agree on including the number of networks, but you could also add a brief description of their nature (e.g. temporal snapshots, different subsystems..)."
"data.system1",32,6,0,2,1,"I agree that this should be reported. You might want to add instructions to clarify that the description should be consistent with the other information provided, because the answers in some categories depend on the conceptualization of the network: if I defined the nodes as ""members of parliament of country X at time Y"", then the network is likely clearly bounded. But if I conceptualize and analyze them as ""political elites of country X at time X"" and just happen to focus on mostly MPs, then it becomes a lot less clear if that network has clear boundaries.

=====

I agree but it is not possible to add notes without disagreeing - sorry

The specification of location may need to be refined - for instance, if I say location, this may be ambiguous ( contested geographies, etc) - would a BBOX added to this be useful? ISO code for country or administrative region? 

Did you consider temporal resolution, and also spatial resolution? For time ,it could be hours, day, months, etc. For location, a measurement resolution ( dec degrees, or metres, etc). This is quite important - for instance, if we reconstruct spatial networks based on proximity analysis, we need this information to establish how long did two people stay within a specific proximity to establish a edge ( ie, epidemiological networks). 


=====

I like this section, I would just add a report on system/population size and response rates or similar already at this point. This would help to get an early idea about the scope of the network system and how much of it was observed."
"data.data1",28,4,3,6,0,"Better to be precise: ""Report a link to the data repository."" 

=====

It happens somewhat frequently that the data is published on the university homepage of one of the authors. These webpages are often moved to new addresses or removed entirely when the author leaves the department. It would probably be better to mandate that the network data is archived at a repository like DRYAD (https://datadryad.org/) and that a link should be provided to the data in the repository.

=====

I could imagine this item hindering the advancement of some publications. For example, I sometimes have permission to use data that belongs to a different team and don't have a clear view of why the data is or is not available. It's not always easy to establish a reason for why data may or may not be available when the author is not the owner of the data set. As open data/open science efforts advance, I could see this being a useful criterion to include but have some hesitation about including it now.

=====

The size and formatting details of the data should also be provided. Additionally, if special permission is required to access the data, a description of the access request process should also be provided.

=====

Again - I agree, but we should specify how this is to be done - a DOI, or URL would be optimal ( even if it only contains contact information).

=====

Also report the size of the data, Data type- how to process it (CSV, TSV,...). "
"nodes.meaning1",36,3,0,2,0,"I think the current description might be confusing for those who have multimode ego network data. Should they follow the multimode instruction or both?

=====

Again - strongly agree, but it is insufficient.
For instance - if you have a network of junctions connected by street segments, you need to be able to specifym, in detail, what is a junction (is a roundabout a junction, or a collection of junctions?). If a person is a student AND a tutor, how are they going to be represented (ambiguous classes).  "
